basin,resource,date,Observed,Simulated
upper_san_joaquin,CVP Friant-Kern Canal,10/1/1980,1902.258065,774.6551307
upper_san_joaquin,CVP Friant-Kern Canal,11/1/1980,732.2666667,259.7852654
upper_san_joaquin,CVP Friant-Kern Canal,12/1/1980,364.8064516,61.37525846
upper_san_joaquin,CVP Friant-Kern Canal,1/1/1981,403.7741935,481.3379429
upper_san_joaquin,CVP Friant-Kern Canal,2/1/1981,1508.5,1582.618549
upper_san_joaquin,CVP Friant-Kern Canal,3/1/1981,728.9677419,1486.465587
upper_san_joaquin,CVP Friant-Kern Canal,4/1/1981,865.7,994.2685469
upper_san_joaquin,CVP Friant-Kern Canal,5/1/1981,1314.193548,1239.723908
upper_san_joaquin,CVP Friant-Kern Canal,6/1/1981,2236.666667,2254.427517
upper_san_joaquin,CVP Friant-Kern Canal,7/1/1981,3337.741935,2433.140185
upper_san_joaquin,CVP Friant-Kern Canal,8/1/1981,1898.387097,1801.736274
upper_san_joaquin,CVP Friant-Kern Canal,9/1/1981,960.9333333,993.9546137
upper_san_joaquin,CVP Friant-Kern Canal,10/1/1981,471.6129032,1119.368158
upper_san_joaquin,CVP Friant-Kern Canal,11/1/1981,180.2333333,370.7163752
upper_san_joaquin,CVP Friant-Kern Canal,12/1/1981,24.64516129,168.0856256
upper_san_joaquin,CVP Friant-Kern Canal,1/1/1982,1121.903226,211.2315192
upper_san_joaquin,CVP Friant-Kern Canal,2/1/1982,3426.071429,948.7771856
upper_san_joaquin,CVP Friant-Kern Canal,3/1/1982,1894.032258,1030.296408
upper_san_joaquin,CVP Friant-Kern Canal,4/1/1982,1746.5,1899.155247
upper_san_joaquin,CVP Friant-Kern Canal,5/1/1982,3530.322581,2468.129498
upper_san_joaquin,CVP Friant-Kern Canal,6/1/1982,4407.666667,3449.788423
upper_san_joaquin,CVP Friant-Kern Canal,7/1/1982,4465.806452,3962.877782
upper_san_joaquin,CVP Friant-Kern Canal,8/1/1982,4198.387097,3583.014617
upper_san_joaquin,CVP Friant-Kern Canal,9/1/1982,2434.5,2313.806378
upper_san_joaquin,CVP Friant-Kern Canal,10/1/1982,1720.032258,774.6551307
upper_san_joaquin,CVP Friant-Kern Canal,11/1/1982,670.6,259.7852654
upper_san_joaquin,CVP Friant-Kern Canal,12/1/1982,163.3548387,61.37525846
upper_san_joaquin,CVP Friant-Kern Canal,1/1/1983,321.8387097,481.3379429
upper_san_joaquin,CVP Friant-Kern Canal,2/1/1983,299,1582.618549
upper_san_joaquin,CVP Friant-Kern Canal,3/1/1983,37.32258065,1486.465587
upper_san_joaquin,CVP Friant-Kern Canal,4/1/1983,594.4666667,1899.155247
upper_san_joaquin,CVP Friant-Kern Canal,5/1/1983,893.2580645,2468.129498
upper_san_joaquin,CVP Friant-Kern Canal,6/1/1983,2857.333333,3449.788423
upper_san_joaquin,CVP Friant-Kern Canal,7/1/1983,3844.193548,3962.877782
upper_san_joaquin,CVP Friant-Kern Canal,8/1/1983,2873.870968,3583.014617
upper_san_joaquin,CVP Friant-Kern Canal,9/1/1983,2158.666667,2313.806378
upper_san_joaquin,CVP Friant-Kern Canal,10/1/1983,1163.483871,774.6551307
upper_san_joaquin,CVP Friant-Kern Canal,11/1/1983,858.1333333,259.7852654
upper_san_joaquin,CVP Friant-Kern Canal,12/1/1983,0,61.37525846
upper_san_joaquin,CVP Friant-Kern Canal,1/1/1984,0,481.3379429
upper_san_joaquin,CVP Friant-Kern Canal,2/1/1984,3037.413793,1559.058507
upper_san_joaquin,CVP Friant-Kern Canal,3/1/1984,1811.935484,1486.465587
upper_san_joaquin,CVP Friant-Kern Canal,4/1/1984,1404,1899.155247
upper_san_joaquin,CVP Friant-Kern Canal,5/1/1984,2100,2468.129498
upper_san_joaquin,CVP Friant-Kern Canal,6/1/1984,3666.666667,3449.788423
upper_san_joaquin,CVP Friant-Kern Canal,7/1/1984,3806.451613,3962.877782
upper_san_joaquin,CVP Friant-Kern Canal,8/1/1984,2710.967742,3583.014617
upper_san_joaquin,CVP Friant-Kern Canal,9/1/1984,1741.333333,2313.806378
upper_san_joaquin,CVP Friant-Kern Canal,10/1/1984,1295.483871,774.6551307
upper_san_joaquin,CVP Friant-Kern Canal,11/1/1984,381.0666667,259.7852654
upper_san_joaquin,CVP Friant-Kern Canal,12/1/1984,0,61.37525846
upper_san_joaquin,CVP Friant-Kern Canal,1/1/1985,2.419354839,481.3379429
upper_san_joaquin,CVP Friant-Kern Canal,2/1/1985,2022.785714,1582.618549
upper_san_joaquin,CVP Friant-Kern Canal,3/1/1985,1300.870968,1266.792681
upper_san_joaquin,CVP Friant-Kern Canal,4/1/1985,1366.133333,994.2685469
upper_san_joaquin,CVP Friant-Kern Canal,5/1/1985,1705.806452,1239.723908
upper_san_joaquin,CVP Friant-Kern Canal,6/1/1985,2518,2254.427517
upper_san_joaquin,CVP Friant-Kern Canal,7/1/1985,2288.387097,2433.140185
upper_san_joaquin,CVP Friant-Kern Canal,8/1/1985,1458.870968,1801.736274
upper_san_joaquin,CVP Friant-Kern Canal,9/1/1985,972.9,993.9546137
upper_san_joaquin,CVP Friant-Kern Canal,10/1/1985,844.9677419,1119.368158
