WY,WYT
2014,3.0
2015,1.0
2016,1.0
2017,1.0
2018,1.0
2019,1.0
2020,1.0
2021,1.0
2022,1.0
2023,1.0
2024,2.0
2025,1.0
2026,1.0
2027,1.0
2028,1.0
2029,1.0
2030,1.0
2031,2.0
2032,1.0
2033,1.0
2034,1.0
2035,1.0
2036,2.0
2037,1.0
2038,2.0
2039,1.0
2040,1.0
2041,1.0
2042,1.0
2043,2.0
2044,1.0
2045,1.0
2046,1.0
2047,1.0
2048,2.0
2049,1.0
2050,1.0
2051,1.0
2052,1.0
2053,1.0
2054,2.0
2055,2.0
2056,1.0
2057,2.0
2058,1.0
2059,1.0
2060,1.0
2061,1.0
2062,1.0
2063,1.0
2064,1.0
2065,1.0
2066,2.0
2067,2.0
2068,1.0
2069,1.0
2070,1.0
2071,1.0
2072,2.0
2073,1.0
2074,1.0
2075,1.0
2076,1.0
2077,1.0
2078,1.0
2079,1.0
2080,1.0
2081,1.0
2082,1.0
2083,1.0
2084,1.0
2085,2.0
2086,1.0
2087,2.0
2088,2.0
2089,1.0
2090,2.0
2091,1.0
2092,1.0
2093,1.0
2094,1.0
2095,2.0
2096,2.0
2097,2.0
2098,1.0
2099,1.0
2100,1.0
