WY,flow
2015,1921.2122145320943
2016,1527.076214917221
2017,2641.193825095496
2018,1459.1983679823832
2019,2116.918700601916
2020,1165.5858979399006
2021,2644.8264369720505
2022,1191.5882702560602
2023,1581.6935673635232
2024,1071.029080201833
2025,1175.5678817491996
2026,2463.925132261553
2027,2934.30995229806
2028,2194.517243312129
2029,1421.5664247593634
2030,2758.790092479029
2031,735.3706112308334
2032,2174.179671252482
2033,2197.7916480155677
2034,1084.9182842293721
2035,1114.4091465245715
2036,1069.6299102584105
2037,1178.2022434711425
2038,725.120096681762
2039,1637.0587533863288
2040,1475.042147604791
2041,2174.358991072929
2042,1803.2068286283702
2043,1156.3974939455718
2044,1116.343734530615
2045,1736.0322433762817
2046,2564.5891761300113
2047,1303.6316597122175
2048,931.8037472099144
2049,1750.9119672958643
2050,2036.90822305383
2051,1269.4818573142963
2052,2350.7735629396047
2053,1563.920415828961
2054,807.7717631310666
2055,1141.5745917512552
2056,1079.750737109486
2057,913.528269674385
2058,2246.4467600599633
2059,1421.9695147205134
2060,1668.1837623997287
2061,2238.9250171178564
2062,1885.7102106107236
2063,1237.9233232523718
2064,2321.6792318320945
2065,2734.343240170587
2066,521.1924864809313
2067,907.7581511086364
2068,1883.9325700506681
2069,3179.714703841398
2070,3298.0754361073778
2071,2146.151777373382
2072,825.6533223884447
2073,1713.8424961230721
2074,2301.5207699903576
2075,1199.2462142232457
2076,1452.4427978510041
2077,2602.1064444290864
2078,1491.3121454129143
2079,2362.4270841081293
2080,1624.4923702406509
2081,1475.1859023026768
2082,2024.5589702728678
2083,2350.0610250530085
2084,2617.2928102564856
2085,1470.0484791265735
2086,1864.7101781499032
2087,847.4164594104057
2088,874.5781540102026
2089,1649.6666103735963
2090,859.781969563958
2091,1960.0080184293697
2092,1574.3440309365737
2093,1427.1129579973033
2094,2005.0067789746722
2095,756.9041307898214
2096,712.5166220811284
2097,534.8617268214581
2098,1961.7669892101096
2099,1620.6763623940494
2100,2395.1592453982453
2101,166.46842810155997
