WY,WYT
2015,5
2016,4
2017,5
2018,3
2019,5
2020,3
2021,5
2022,3
2023,5
2024,3
2025,4
2026,5
2027,5
2028,5
2029,3
2030,5
2031,2
2032,5
2033,5
2034,3
2035,3
2036,4
2037,3
2038,2
2039,4
2040,4
2041,5
2042,4
2043,3
2044,3
2045,4
2046,5
2047,3
2048,2
2049,4
2050,4
2051,3
2052,5
2053,4
2054,2
2055,2
2056,2
2057,2
2058,4
2059,4
2060,4
2061,5
2062,5
2063,3
2064,5
2065,5
2066,2
2067,2
2068,5
2069,5
2070,5
2071,5
2072,2
2073,4
2074,5
2075,3
2076,3
2077,5
2078,4
2079,5
2080,4
2081,3
2082,5
2083,5
2084,5
2085,4
2086,4
2087,2
2088,2
2089,4
2090,2
2091,5
2092,3
2093,4
2094,5
2095,2
2096,2
2097,1
2098,5
2099,4
2100,5
2101,1
