WY,flow
2015,2204.728330973931
2016,1630.9257770301892
2017,2771.1580161007464
2018,1160.4525226659423
2019,2059.3772419091024
2020,1195.649617684007
2021,2823.6538888526525
2022,1065.327146378422
2023,2035.7056358153013
2024,940.1185546314935
2025,1389.1934689887116
2026,2436.2967678211526
2027,3062.368887726132
2028,2302.681774665207
2029,1255.8384042356104
2030,2843.4837597435667
2031,501.26335014145064
2032,2715.4159955245977
2033,2140.368997453861
2034,890.6399643343423
2035,876.5649188900583
2036,1387.3244894299764
2037,1016.9435310189125
2038,474.59202175693275
2039,1527.4660252110573
2040,1383.7391195439593
2041,2211.3981049857684
2042,1618.2415204098904
2043,957.5477975091806
2044,1273.7398278012818
2045,1615.4862979433701
2046,3062.885714950114
2047,881.5264555618734
2048,831.3525727565627
2049,1737.2226941798867
2050,1950.7033826902723
2051,1261.236250165638
2052,2363.586151407642
2053,1819.7290009692922
2054,663.4928249439612
2055,733.6482039738646
2056,774.8624054772338
2057,642.8921906234009
2058,1808.6340997229308
2059,1304.2255691880644
2060,1376.321742590699
2061,2306.4436197953933
2062,1962.7611915259467
2063,1193.6040472955272
2064,2962.095992638405
2065,2998.3284348437587
2066,497.0998910383314
2067,714.1223086362262
2068,2360.4089963272086
2069,3588.4658964864357
2070,3532.2542939162363
2071,2211.021184674665
2072,758.2540766364699
2073,1946.9381737506278
2074,2643.6163056685923
2075,906.2469916048693
2076,925.4888387715549
2077,2462.4863631181197
2078,1372.5178382532406
2079,2590.3333133243323
2080,1472.3170987215506
2081,1284.2863915324517
2082,2169.0433962654324
2083,2364.072041959499
2084,2471.118845849938
2085,1526.1230623648805
2086,1579.1636839371522
2087,525.2295613122731
2088,555.823092090962
2089,1611.60715446814
2090,637.6403021193371
2091,2183.8962813712524
2092,1198.720000745616
2093,1643.5563999777967
2094,2086.941250819874
2095,605.473059384796
2096,681.5859838169839
2097,296.78824271673017
2098,2073.8708245455937
2099,1462.7071769979204
2100,2661.9610871339332
2101,99.51583825271382
