WY,20th_percentile,40th_percentile,60th_percentile,80th_percentile,category
2006,,,,,5
2007,,,,,5
2008,,,,,5
2009,,,,,5
2010,,,,,5
2011,,,,,5
2012,,,,,5
2013,,,,,5
2014,,,,,5
2015,,,,,5
2016,,,,,5
2017,,,,,5
2018,,,,,5
2019,,,,,5
2020,,,,,5
2021,,,,,5
2022,,,,,5
2023,,,,,5
2024,,,,,5
2025,,,,,5
2026,,,,,5
2027,,,,,5
2028,,,,,5
2029,,,,,5
2030,,,,,5
2031,,,,,5
2032,,,,,5
2033,,,,,5
2034,,,,,5
2035,528361.7485730337,1057409.053478745,1323203.313179252,1900710.0939269694,5
2036,528361.7485730337,1057409.053478745,1323203.313179252,1900710.0939269694,5
2037,528361.7485730337,1028245.3589224869,1323203.313179252,1900710.0939269694,5
2038,528361.7485730337,1028245.3589224869,1247689.404524673,1900710.0939269694,5
2039,538998.7451557063,1028245.3589224869,1247689.404524673,1900710.0939269694,5
2040,538998.7451557063,1028245.3589224869,1185950.4250098795,1649665.5818310785,5
2041,611736.282702012,1057409.053478745,1185950.4250098795,1649665.5818310785,5
2042,611736.282702012,1028245.3589224869,1150773.815353595,1521154.1901681146,5
2043,655939.7616393929,1028245.3589224869,1150773.815353595,1521154.1901681146,5
2044,611736.282702012,999593.4559321117,1124880.0676491333,1471961.3928190505,5
2045,611736.282702012,999593.4559321117,1109976.2561821763,1471961.3928190505,5
2046,611736.282702012,983403.8694373342,1091996.0269949199,1471961.3928190505,5
2047,655939.7616393929,999593.4559321117,1124880.0676491333,1601981.375274453,5
2048,655939.7616393929,999593.4559321117,1124880.0676491333,1601981.375274453,5
2049,611736.282702012,983403.8694373342,1091996.0269949199,1563251.7662436082,5
2050,655939.7616393929,999593.4559321117,1100157.250957851,1563251.7662436082,5
2051,745739.3603633922,999593.4559321117,1100157.250957851,1563251.7662436082,5
2052,745739.3603633922,999593.4559321117,1100157.250957851,1684852.1723420976,5
2053,655939.7616393929,983403.8694373342,1084532.59300278,1492679.092085962,5
2054,655939.7616393929,982181.9997289326,1072902.2160962117,1273344.0212379785,5
2055,655939.7616393929,982181.9997289326,1072902.2160962117,1172563.8070441273,5
2056,611736.282702012,968053.4627788684,1054391.7298155157,1147972.6907786685,5
2057,611736.282702012,968053.4627788684,1054391.7298155157,1146523.7791315047,5
2058,579796.8726209935,946276.6645869096,1033943.294644156,1118116.2347975974,5
2059,550834.1285099055,892683.0737989211,1016726.632284966,1118116.2347975974,5
2060,550834.1285099055,796236.0736776149,994352.6381079286,1103080.9952532887,5
2061,550834.1285099055,892683.0737989211,994352.6381079286,1103080.9952532887,5
2062,503674.66033521085,892683.0737989211,994352.6381079286,1103080.9952532887,5
2063,471366.4146304556,739535.9610309205,994352.6381079286,1103080.9952532887,5
2064,455385.06259989727,613169.5495599582,983170.3029262203,1103080.9952532887,5
2065,471366.4146304556,681115.7080381889,983170.3029262203,1103080.9952532887,5
2066,471366.4146304556,777298.2600251309,994352.6381079286,1118116.2347975974,5
2067,449565.207751108,681115.7080381889,983170.3029262203,1118116.2347975974,5
2068,449565.207751108,681115.7080381889,983170.3029262203,1118116.2347975974,5
2069,449565.207751108,777298.2600251309,1001004.1788124164,1146523.7791315047,5
2070,394712.5527388012,669812.9980512742,983170.3029262203,1146523.7791315047,5
2071,353987.97320872196,591548.4895259916,981921.4146414027,1111197.0410325879,5
2072,327247.59536616923,555129.2546710618,973625.6672693674,1111197.0410325879,5
2073,327247.59536616923,555129.2546710618,973625.6672693674,1161820.5172037922,5
2074,353987.97320872196,590884.6538284929,973625.6672693674,1161820.5172037922,5
2075,353987.97320872196,590884.6538284929,973625.6672693674,1161820.5172037922,5
2076,353987.97320872196,590884.6538284929,955849.5736871075,1161820.5172037922,5
2077,353987.97320872196,590884.6538284929,918122.6097927031,1111197.0410325879,5
2078,353987.97320872196,569762.5624492209,849019.919674598,1111197.0410325879,5
2079,353987.97320872196,569762.5624492209,849019.919674598,1111197.0410325879,5
2080,353987.97320872196,569762.5624492209,849019.919674598,1111197.0410325879,5
2081,353987.97320872196,569762.5624492209,757824.8423608869,1111197.0410325879,5
2082,353987.97320872196,557304.1996718479,714284.7952812978,1020090.7893893182,5
2083,353987.97320872196,576242.4217606845,757824.8423608869,1020090.7893893182,5
2084,353987.97320872196,557304.1996718479,714284.7952812978,1020090.7893893182,5
2085,353987.97320872196,512293.497061245,659027.7968277349,992186.1719415146,5
2086,360732.2604944177,557304.1996718479,714284.7952812978,1030274.6868418104,5
2087,360732.2604944177,557304.1996718479,714284.7952812978,992186.1719415146,5
2088,353987.97320872196,512293.497061245,714284.7952812978,992186.1719415146,5
2089,360732.2604944177,557304.1996718479,728657.4454070529,1024774.0174421673,5
2090,360732.2604944177,557304.1996718479,805268.8242438468,1024774.0174421673,5
2091,360732.2604944177,512293.497061245,728657.4454070529,1024774.0174421673,5
2092,360732.2604944177,557304.1996718479,805268.8242438468,1127862.3239898381,5
2093,380146.488136299,582579.0786435775,805268.8242438468,1127862.3239898381,5
2094,380146.488136299,612582.3718823451,879881.7592530043,1127862.3239898381,5
2095,360732.2604944177,582579.0786435775,879881.7592530043,1127862.3239898381,5
2096,360732.2604944177,582579.0786435775,793068.5596418048,1024774.0174421673,5
2097,380146.488136299,600499.369836518,879881.7592530043,1127862.3239898381,5
2098,380146.488136299,600499.369836518,793068.5596418048,1024774.0174421673,5
2099,380146.488136299,600499.369836518,793068.5596418048,1024774.0174421673,5
2100,380146.488136299,600499.369836518,793068.5596418048,1024774.0174421673,5
