WY,flow
2025,1536177.0220408593
2026,3644547.2834470533
2027,4530616.8805415165
2028,3350542.1654433645
2029,1887738.618623773
2030,4110097.120107998
2031,828193.1119026063
2032,3855352.9482415817
2033,3123931.4013258484
2034,1323064.6708393868
2035,1210216.2444664738
2036,1722480.70813559
2037,1562173.7340964691
2038,733070.0597212159
2039,2194778.167160572
2040,1983633.7892492798
2041,3270643.1622616206
2042,2434082.883728544
2043,1462741.0256359116
2044,1621680.5408953964
2045,2357344.2655572216
2046,4146482.1740377718
2047,1451525.7483008485
2048,1224896.5083195954
2049,2389762.6445968025
2050,2949988.4121714104
2051,86030.80800771309
