WY,flow
2006,599.7297260666257
2007,3216.372045300726
2008,5242.8504472671275
2009,4108.28039332874
2010,1878.3002651242195
2011,418.77956634547473
2012,238.72987871414742
2013,3018.9141768550603
2014,5587.516906894685
2015,2231.77808864431
2016,725.8246998925529
2017,1588.697840795823
2018,4637.442812197136
2019,3741.646210494432
2020,1652.9169151583844
2021,862.3274677906086
2022,1129.8011487298977
2023,738.9207901630734
2024,538.3824392704713
2025,723.5744742131167
2026,931.8006487196054
2027,3707.0131663479397
2028,1710.1606710545113
2029,5678.271391312166
2030,2770.467323376791
2031,5517.418993477808
2032,837.3308407721407
2033,5355.031957563188
2034,955.4069430837849
2035,1405.1514358746924
2036,293.40768442123556
2037,549.8866214697
2038,487.4831017547124
2039,8727.537383285608
2040,1391.901206263246
2041,3390.657700454255
2042,3437.7265938140663
2043,2288.3518149257443
2044,1264.0880773436775
2045,2269.3245152202503
2046,617.4938823244316
2047,253.90796545956346
2048,1552.6026461479757
2049,7025.805872089244
2050,1592.9534933640157
2051,2027.6524401124575
2052,1206.0115328072147
2053,2834.83917095435
2054,921.2139166263004
2055,1887.9892675610818
2056,983.4201016350673
2057,1490.2417174660898
2058,2545.064178854321
2059,4506.417528336693
2060,4748.51658715675
2061,2589.2565933319074
2062,1628.0668950769978
2063,3577.870559041962
2064,320.4872614916689
2065,425.5880431757381
2066,1105.5417304449861
2067,4267.21775670285
2068,3276.2379786309425
2069,406.99919688265993
2070,1888.3989555220758
2071,3686.898896292033
2072,609.1805467217539
2073,3218.5480272298114
2074,1566.7341553464994
2075,2598.2166516689176
2076,1328.9480557444588
2077,4716.043977028637
2078,711.7034891798186
2079,3420.3676172393284
2080,2189.5531987421537
2081,2613.7147434555336
2082,2364.415173834413
2083,3798.3932673377994
2084,647.6098780201972
2085,4307.315593502796
2086,207.62827254547744
2087,876.1271170497387
2088,2139.3280146962625
2089,2047.4126124176294
2090,2653.6311460744637
2091,510.21277597748923
2092,4027.1109476089177
2093,1944.9952193956044
2094,1452.4587175489755
2095,3450.599064834783
2096,3528.113971202525
2097,530.6205715128796
2098,4007.7932867410864
2099,2901.31928081205
2100,908.4656381672496
