Month,Day,Critical,Dry,Below,Above,Wet
1,1,11.86772727,44.30125,25.61052632,49.78315789,12.90515152
1,2,18.73772727,41.768125,15.31421053,42.04526316,39.34272727
1,3,35.10954545,66.490625,35.25263158,49.36684211,39.89454545
1,4,48.79227273,34.49,42.96842105,46.81210526,54.35818182
1,5,50.03681818,27.163125,47.60526316,51.21894737,50.64424242
1,6,54.92772727,53.1,33.54210526,57.12315789,31.91878788
1,7,62.78090909,64.9725,22.44736842,50.54263158,18.71636364
1,8,61.98954545,49.62,6.162631579,44.80578947,10.90181818
1,9,54.63454545,48.11375,23.74157895,45.80947368,8.213939394
1,10,41.10636364,79.924375,25.57842105,61.07842105,11.73121212
1,11,29.70818182,66.875,24.46789474,50.03052632,11.74666667
1,12,68.26045455,66.824375,52.76789474,59.11947368,30.02030303
1,13,76.66545455,67.810625,55.66263158,55.77315789,33.09212121
1,14,72.21590909,71.311875,60.30526316,68.71736842,19.65484848
1,15,75.46045455,88.16125,43.30526316,50.92473684,20.84060606
1,16,81.115,88.2775,63.93052632,72.81315789,28.88787879
1,17,65.09636364,68.0775,49.43736842,92.09315789,38.38060606
1,18,50.02181818,72.923125,48.09421053,89.94105263,50.36454545
1,19,91.64227273,137.543125,71.88315789,63.52526316,60.27545455
1,20,96.52090909,152.518125,60.73157895,51.10315789,55.24848485
1,21,108.2590909,153.230625,56.53157895,47.89157895,54.21939394
1,22,124.3609091,120.47875,55.74368421,64.12684211,61.93545455
1,23,120.9136364,158.79125,62.39578947,64.06894737,66.79545455
1,24,67.82363636,133.2825,44.70210526,63.22473684,55.6430303
1,25,69.39636364,94.656875,36.37894737,69.06368421,44.87060606
1,26,97.87,115.643125,36.77052632,59.27052632,43.10545455
1,27,87.66318182,88.508125,36.40368421,31.31526316,51.64818182
1,28,92.65818182,68.924375,23.23263158,35.89263158,46.39878788
1,29,95.11863636,74.635625,22.70210526,30.68947368,50.65575758
1,30,100.6381818,52.825,37.95789474,36.26052632,60.28757576
1,31,65.62318182,73.229375,31.13,53.75,68.85030303
2,1,61.76909091,72.02125,47.48736842,60.12368421,74.17969697
2,2,107.9036364,107.655,68.25947368,33.11315789,72.51606061
2,3,119.3777273,75.80125,65.88263158,42.00105263,58.11151515
2,4,105.7895455,64.12375,42.92421053,35.79684211,53.79272727
2,5,133.2122727,62.999375,39.92263158,40.90157895,44.35969697
2,6,92.75,59.428125,36.45210526,41.95578947,57.90424242
2,7,64.07727273,68.67125,31.33631579,40.53526316,60.51969697
2,8,54.83636364,62.606875,30.48421053,45.63894737,64.09090909
2,9,71.05818182,57.605625,46.15105263,50.32210526,69.52484848
2,10,68.31363636,65.745,46.50368421,75.55210526,78.22424242
2,11,59.77363636,67.358125,55.97368421,84.77263158,72.70757576
2,12,56.04363636,49.761875,99.29263158,57.30947368,72.44515152
2,13,75.47363636,56.730625,85.76736842,55.00684211,77.38030303
2,14,123.8863636,42.5375,109.8047368,47.05736842,100.6224242
2,15,90.79545455,47.255625,128.7489474,46.69578947,111.4412121
2,16,90.75272727,43.975625,124.8684211,46.64368421,120.5651515
2,17,97.15,35.03375,122.9368421,54.63736842,122.2109091
2,18,91.49590909,35.95,129.5563158,67.68894737,116.089697
2,19,91.12727273,91.48625,72.34631579,75.67736842,120.5984848
2,20,91.12409091,109.77875,94.23631579,85.67631579,107.5121212
2,21,116.5672727,120.7975,94.83315789,73.47105263,109.5236364
2,22,72.89590909,86.671875,123.4705263,63.47736842,129.36
2,23,117.2772727,66.813125,144.7173684,64.68105263,115.5215152
2,24,100.8,56.95875,121.8,74.43631579,106.0906061
2,25,99.31818182,70.79375,131.0052632,94.79842105,107.9124242
2,26,102.2436364,48.186875,175.3263158,136.5652632,98.52
