Month,Day,Critical,Dry,Below,Above,Wet
1,1,8.25392E-05,0.000180617,0.000136147,0.000264178,0.000130915
1,2,0.000151509,0.000182843,0.000296297,0.00042693,0.000259692
1,3,0.00026437,0.000386328,0.000317118,0.000356744,0.000210302
1,4,0.000216117,0.000351073,0.000330187,0.000418047,0.000234241
1,5,0.000216643,0.00045645,0.000327106,0.00050525,0.000194706
1,6,0.00016995,0.000359431,0.000237134,0.000579356,0.000360697
1,7,0.000172115,0.000258877,0.000235422,0.000526804,0.000205327
1,8,0.000121827,0.000163639,0.000230328,0.000589141,0.000326254
1,9,0.000192232,0.00019351,0.000160271,0.000546565,0.000307586
1,10,0.000243048,0.000324944,0.000200263,0.000469182,0.000344859
1,11,0.000299855,0.000326394,0.00017189,0.000539026,0.000301846
1,12,0.000307523,0.000348222,0.000228032,0.000588886,0.000354797
1,13,0.000270624,0.000371556,0.000206083,0.000428733,0.000458301
1,14,0.00028215,0.000450835,0.000175112,0.000456648,0.000394215
1,15,0.000174654,0.000372399,0.000291544,0.000497528,0.000445877
1,16,0.000253317,0.000336107,0.000382262,0.000426754,0.000376042
1,17,0.000349209,0.00039944,0.000397526,0.000194825,0.000531569
1,18,0.000349017,0.000324554,0.000406628,0.00022789,0.00039999
1,19,0.000361007,0.000425078,0.000485706,0.000291736,0.000366588
1,20,0.000357461,0.000452247,0.000518727,0.000469885,0.000365685
1,21,0.000318497,0.000432236,0.000530191,0.00065735,0.000198264
1,22,0.000279548,0.000317096,0.000581941,0.000395153,0.000238492
1,23,0.000366703,0.000314849,0.000611462,0.000389596,0.000207603
1,24,0.000513263,0.000402274,0.000599525,0.000370776,0.000311012
1,25,0.000377939,0.000491568,0.00056569,0.000416217,0.000207364
1,26,0.000557894,0.000492003,0.000509286,0.000426126,0.000271945
1,27,0.000361224,0.000355741,0.0004849,0.000261129,0.000383932
1,28,0.000561014,0.000341828,0.000573544,0.000282038,0.000396471
1,29,0.000703827,0.000294369,0.00048076,0.00037485,0.00033333
1,30,0.000509149,0.000235986,0.00026299,0.00035579,0.000265011
1,31,0.000630148,0.000337669,0.000310876,0.000335926,0.000427366
2,1,0.00038296,0.000566321,0.000393579,0.000296251,0.000514619
2,2,0.000724343,0.000761174,0.000436773,0.000312553,0.000687453
2,3,0.000609973,0.000595824,0.000488968,0.000436719,0.000825506
2,4,0.000571396,0.000520128,0.000547406,0.000328052,0.000716147
2,5,0.000626162,0.00049893,0.000534135,0.000416864,0.000635943
2,6,0.000592905,0.000462298,0.000494385,0.000438716,0.000677598
2,7,0.000657572,0.000430238,0.000432061,0.000309269,0.000740099
2,8,0.000388043,0.000315253,0.000548932,0.000437736,0.000576845
2,9,0.000518585,0.000412141,0.000609891,0.000339865,0.000664884
2,10,0.000596544,0.000408517,0.000562931,0.000258837,0.000608758
2,11,0.000475015,0.000380116,0.000578115,0.000270909,0.000595353
2,12,0.000549295,0.000315977,0.000569838,0.000331971,0.000573662
2,13,0.000488906,0.000331354,0.000602158,0.000329217,0.000719484
2,14,0.000439104,0.000284566,0.000519838,0.000335336,0.000689069
2,15,0.000318422,0.000281824,0.00052604,0.00034628,0.000662433
2,16,0.00032708,0.000379304,0.000511461,0.00030731,0.000697318
2,17,0.000661201,0.00031896,0.000519234,0.000217853,0.00063503
2,18,0.000766105,0.00034605,0.000579484,0.000160837,0.000587896
2,19,0.000766145,0.000518636,0.00072288,0.000190342,0.00056827
2,20,0.000724865,0.000655337,0.000654112,0.000292912,0.000508227
2,21,0.00081695,0.000620964,0.000667564,0.000317182,0.00059982
2,22,0.000739007,0.000514951,0.000494687,0.000315019,0.000535582
2,23,0.000938146,0.000429384,0.00052592,0.000410467,0.000452069
2,24,0.000819396,0.000447676,0.000953933,0.000361532,0.000472364
2,25,0.000818134,0.000403529,0.001186939,0.000298528,0.000490124
2,26,0.000978577,0.000489579,0.001305647,0.000561617,0.000557364
2,27,0.000906984,0.000649052,0.001693647,0.000326795,0.000587325
2,28,0.00089661,0.000756897,0.001749387,0.000309436,0.000638031
2,29,0.000770602,0.000796778,0.000961484,3.937E-05,0.000577086
3,1,0.001131349,0.000981777,0.001588431,0.000426644,0.00070836
3,2,0.001277434,0.001463738,0.001150551,0.000552485,0.0007184
3,3,0.001170439,0.001244605,0.001247289,0.000565592,0.00067704
3,4,0.001201265,0.001834224,0.001493425,0.000698754,0.000910189
3,5,0.001375357,0.002066364,0.001587646,0.000673482,0.001040718
3,6,0.00113908,0.002038068,0.00167647,0.000717857,0.001077178
3,7,0.001346167,0.00209466,0.00150738,0.00073852,0.001078881
3,8,0.001347942,0.00165113,0.001538673,0.000774163,0.001132047
3,9,0.001578007,0.00175155,0.001642036,0.001115932,0.00118402
3,10,0.00209188,0.001556436,0.001822222,0.001271001,0.001385915
3,11,0.001862506,0.002043859,0.001934185,0.001238094,0.001434602
