Day of year,Hetch Hetchy Reservoir,Cherry Lake,Lake Eleanor,Don Pedro Reservoir
1,330000,248000,21495,2030000
2,330000,248000,21495,2030000
3,330000,248000,21495,2030000
4,330000,248000,21495,2030000
5,330000,248000,21495,2030000
6,330000,248000,21495,2030000
7,330000,248000,21495,2030000
8,330000,248000,21495,2030000
9,330000,248000,21495,2030000
10,330000,248000,21495,2030000
11,330000,248000,21495,2030000
12,330000,248000,21495,2030000
13,330000,248000,21495,2030000
14,330000,248000,21495,2030000
15,330000,248000,21495,2030000
16,330000,248000,21495,2030000
17,330000,248000,21495,2030000
18,330000,248000,21495,2030000
19,330000,248000,21495,2030000
20,330000,248000,21495,2030000
21,330000,248000,21495,2030000
22,330000,248000,21495,2030000
23,330000,248000,21495,2030000
24,330000,248000,21495,2030000
25,330000,248000,21495,2030000
26,330000,248000,21495,2030000
27,330000,248000,21495,2030000
28,330000,248000,21495,2030000
29,330000,248000,21495,2030000
30,330000,248000,21495,2030000
31,330000,248000,21495,2030000
32,330000,248000,21495,2030000
33,330000,248000,21495,2030000
34,330000,248000,21495,2030000
35,330000,248000,21495,2030000
36,330000,248000,21495,2030000
37,330000,248000,21495,2030000
38,330000,248000,21495,2030000
39,330000,248000,21495,2030000
40,330000,248000,21495,2030000
41,330000,248000,21495,2030000
42,330000,248000,21495,2030000
43,330000,248000,21495,2030000
44,330000,248000,21495,2030000
45,330000,248000,21495,2030000
46,330000,248000,21495,2030000
47,330000,248000,21495,2030000
48,330000,248000,21495,2030000
49,330000,248000,21495,2030000
50,330000,248000,21495,2030000
51,330000,248000,21495,2030000
52,330000,248000,21495,2030000
53,330000,248000,21495,2030000
54,330000,248000,21495,2030000
55,330000,248000,21495,2030000
56,330000,248000,21495,2030000
57,330000,248000,21495,2030000
58,330000,248000,21495,2030000
59,330000,248000,21495,2030000
60,330000,248000,21495,2030000
61,330000,248000,21495,2030000
62,330000,248000,21495,2030000
63,330000,248000,21495,2030000
64,330000,248000,21495,2030000
65,330000,248000,21495,2030000
66,330000,248000,21495,2030000
67,330000,248000,21495,2030000
68,330000,248000,21495,2030000
69,330000,248000,21495,2030000
70,330000,248000,21495,2030000
71,330000,248000,21495,2030000
72,330000,248000,21495,2030000
73,330000,248000,21495,2030000
74,330000,248000,21495,2030000
75,330000,248000,21495,2030000
76,330000,248000,21495,2030000
77,330000,248000,21495,2030000
78,330000,248000,21495,2030000
79,330000,248000,21495,2030000
80,330000,248000,21495,2030000
81,330000,248000,21495,2030000
82,330000,248000,21495,2030000
83,330000,248000,21495,2030000
84,330000,248000,21495,2030000
85,330000,248000,21495,2030000
86,330000,248000,21495,2030000
87,330000,248000,21495,2030000
88,330000,248000,21495,2030000
89,330000,248000,21495,2030000
90,330000,248000,21495,2030000
91,330000,248000,21495,2030000
92,331013.3333,248843.3333,21681.83333,2030000
93,332026.6667,249686.6667,21868.66667,2030000
94,333040,250530,22055.5,2030000
95,334053.3333,251373.3333,22242.33333,2030000
96,335066.6667,252216.6667,22429.16667,2030000
97,336080,253060,22616,2030000
98,337093.3333,253903.3333,22802.83333,2030000
99,338106.6667,254746.6667,22989.66667,2030000
100,339120,255590,23176.5,2030000
101,340133.3333,256433.3333,23363.33333,2030000
102,341146.6667,257276.6667,23550.16667,2030000
103,342160,258120,23737,2030000
104,343173.3333,258963.3333,23923.83333,2030000
105,344186.6667,259806.6667,24110.66667,2030000
106,345200,260650,24297.5,2030000
107,346213.3333,261493.3333,24484.33333,2030000
108,347226.6667,262336.6667,24671.16667,2030000
109,348240,263180,24858,2030000
110,349253.3333,264023.3333,25044.83333,2030000
111,350266.6667,264866.6667,25231.66667,2030000
112,351280,265710,25418.5,2030000
113,352293.3333,266553.3333,25605.33333,2030000
114,353306.6667,267396.6667,25792.16667,2030000
115,354320,268240,25979,2030000
116,355333.3333,269083.3333,26165.83333,2030000
117,356346.6667,269926.6667,26352.66667,2030000
118,357360,270770,26539.5,2030000
119,358373.3333,271613.3333,26726.33333,2030000
120,359386.6667,272456.6667,26913.16667,2030000
121,360400,273300,27100,2030000
122,360400,273300,27100,2030000
123,360400,273300,27100,2030000
124,360400,273300,27100,2030000
125,360400,273300,27100,2030000
126,360400,273300,27100,2030000
127,360400,273300,27100,2030000
128,360400,273300,27100,2030000
129,360400,273300,27100,2030000
130,360400,273300,27100,2030000
131,360400,273300,27100,2030000
132,360400,273300,27100,2030000
133,360400,273300,27100,2030000
134,360400,273300,27100,2030000
135,360400,273300,27100,2030000
136,360400,273300,27100,2030000
137,360400,273300,27100,2030000
138,360400,273300,27100,2030000
139,360400,273300,27100,2030000
140,360400,273300,27100,2030000
141,360400,273300,27100,2030000
142,360400,273300,27100,2030000
143,360400,273300,27100,2030000
144,360400,273300,27100,2030000
145,360400,273300,27100,2030000
146,360400,273300,27100,2030000
147,360400,273300,27100,2030000
148,360400,273300,27100,2030000
149,360400,273300,27100,2030000
150,360400,273300,27100,2030000
151,360400,273300,27100,2030000
152,360400,273300,27100,2030000
153,360400,273300,27100,2030000
154,360400,273300,27100,2030000
155,360400,273300,27100,2030000
156,360400,273300,27100,2030000
157,360400,273300,27100,2030000
158,360400,273300,27100,2030000
159,360400,273300,27100,2030000
160,360400,273300,27100,2030000
161,360400,273300,27100,2030000
162,360400,273300,27100,2030000
163,360400,273300,27100,2030000
164,360400,273300,27100,2030000
165,360400,273300,27100,2030000
166,360400,273300,27100,2030000
167,360400,273300,27100,2030000
168,360400,273300,27100,2030000
169,360400,273300,27100,2030000
170,360400,273300,27100,2030000
171,360400,273300,27100,2030000
172,360400,273300,27100,2030000
173,360400,273300,27100,2030000
174,360400,273300,27100,2030000
175,360400,273300,27100,2030000
176,360400,273300,27100,2030000
177,360400,273300,27100,2030000
178,360400,273300,27100,2030000
179,360400,273300,27100,2030000
180,360400,273300,27100,2030000
