StationID,Duration,SensorNumber,SensorType,DateTime,ObsDate,Value,DataFlag,SensorUnits
MRC,M,65,MON FNF,1950-01-01,1950-01-31T08:00:00Z,37210,,AF
MRC,M,65,MON FNF,1950-02-01,1950-02-28T08:00:00Z,60780,,AF
MRC,M,65,MON FNF,1950-03-01,1950-03-31T08:00:00Z,52670,,AF
MRC,M,65,MON FNF,1950-04-01,1950-04-30T08:00:00Z,171930,,AF
MRC,M,65,MON FNF,1950-05-01,1950-05-31T07:00:00Z,233300,,AF
MRC,M,65,MON FNF,1950-06-01,1950-06-30T07:00:00Z,125100,,AF
MRC,M,65,MON FNF,1950-07-01,1950-07-31T07:00:00Z,21500,,AF
MRC,M,65,MON FNF,1950-08-01,1950-08-31T07:00:00Z,1630,,AF
MRC,M,65,MON FNF,1950-09-01,1950-09-30T08:00:00Z,0,,AF
MRC,M,65,MON FNF,1950-10-01,1950-10-31T08:00:00Z,5680,,AF
MRC,M,65,MON FNF,1950-11-01,1950-11-30T08:00:00Z,258610,,AF
MRC,M,65,MON FNF,1950-12-01,1950-12-31T08:00:00Z,272400,,AF
MRC,M,65,MON FNF,1951-01-01,1951-01-31T08:00:00Z,88290,,AF
MRC,M,65,MON FNF,1951-02-01,1951-02-28T08:00:00Z,71820,,AF
MRC,M,65,MON FNF,1951-03-01,1951-03-31T08:00:00Z,85820,,AF
MRC,M,65,MON FNF,1951-04-01,1951-04-30T07:00:00Z,130680,,AF
MRC,M,65,MON FNF,1951-05-01,1951-05-31T07:00:00Z,176300,,AF
MRC,M,65,MON FNF,1951-06-01,1951-06-30T07:00:00Z,104200,,AF
MRC,M,65,MON FNF,1951-07-01,1951-07-31T07:00:00Z,27800,,AF
MRC,M,65,MON FNF,1951-08-01,1951-08-31T07:00:00Z,3530,,AF
MRC,M,65,MON FNF,1951-09-01,1951-09-30T07:00:00Z,0,,AF
MRC,M,65,MON FNF,1951-10-01,1951-10-31T08:00:00Z,3670,,AF
MRC,M,65,MON FNF,1951-11-01,1951-11-30T08:00:00Z,9110,,AF
MRC,M,65,MON FNF,1951-12-01,1951-12-31T08:00:00Z,58980,,AF
MRC,M,65,MON FNF,1952-01-01,1952-01-31T08:00:00Z,158600,,AF
MRC,M,65,MON FNF,1952-02-01,1952-02-29T08:00:00Z,64830,,AF
MRC,M,65,MON FNF,1952-03-01,1952-03-31T08:00:00Z,157020,,AF
MRC,M,65,MON FNF,1952-04-01,1952-04-30T07:00:00Z,206350,,AF
MRC,M,65,MON FNF,1952-05-01,1952-05-31T07:00:00Z,445270,,AF
MRC,M,65,MON FNF,1952-06-01,1952-06-30T07:00:00Z,304900,,AF
MRC,M,65,MON FNF,1952-07-01,1952-07-31T07:00:00Z,116050,,AF
MRC,M,65,MON FNF,1952-08-01,1952-08-31T07:00:00Z,29260,,AF
MRC,M,65,MON FNF,1952-09-01,1952-09-30T08:00:00Z,8560,,AF
MRC,M,65,MON FNF,1952-10-01,1952-10-31T08:00:00Z,5340,,AF
MRC,M,65,MON FNF,1952-11-01,1952-11-30T08:00:00Z,7260,,AF
MRC,M,65,MON FNF,1952-12-01,1952-12-31T08:00:00Z,30670,,AF
MRC,M,65,MON FNF,1953-01-01,1953-01-31T08:00:00Z,60160,,AF
MRC,M,65,MON FNF,1953-02-01,1953-02-28T08:00:00Z,27620,,AF
MRC,M,65,MON FNF,1953-03-01,1953-03-31T08:00:00Z,40630,,AF
MRC,M,65,MON FNF,1953-04-01,1953-04-30T07:00:00Z,120690,,AF
MRC,M,65,MON FNF,1953-05-01,1953-05-31T07:00:00Z,122060,,AF
MRC,M,65,MON FNF,1953-06-01,1953-06-30T07:00:00Z,158010,,AF
MRC,M,65,MON FNF,1953-07-01,1953-07-31T07:00:00Z,50100,,AF
MRC,M,65,MON FNF,1953-08-01,1953-08-31T07:00:00Z,3700,,AF
MRC,M,65,MON FNF,1953-09-01,1953-09-30T08:00:00Z,0,,AF
MRC,M,65,MON FNF,1953-10-01,1953-10-31T08:00:00Z,3010,,AF
MRC,M,65,MON FNF,1953-11-01,1953-11-30T08:00:00Z,6220,,AF
MRC,M,65,MON FNF,1953-12-01,1953-12-31T08:00:00Z,8290,,AF
MRC,M,65,MON FNF,1954-01-01,1954-01-31T08:00:00Z,19980,,AF
MRC,M,65,MON FNF,1954-02-01,1954-02-28T08:00:00Z,47590,,AF
MRC,M,65,MON FNF,1954-03-01,1954-03-31T08:00:00Z,98990,,AF
MRC,M,65,MON FNF,1954-04-01,1954-04-30T07:00:00Z,170040,,AF
MRC,M,65,MON FNF,1954-05-01,1954-05-31T07:00:00Z,222600,,AF
MRC,M,65,MON FNF,1954-06-01,1954-06-30T07:00:00Z,74000,,AF
MRC,M,65,MON FNF,1954-07-01,1954-07-31T07:00:00Z,17000,,AF
MRC,M,65,MON FNF,1954-08-01,1954-08-31T07:00:00Z,0,,AF
MRC,M,65,MON FNF,1954-09-01,1954-09-30T08:00:00Z,0,,AF
MRC,M,65,MON FNF,1954-10-01,1954-10-31T08:00:00Z,2390,,AF
MRC,M,65,MON FNF,1954-11-01,1954-11-30T08:00:00Z,5750,,AF
MRC,M,65,MON FNF,1954-12-01,1954-12-31T08:00:00Z,18660,,AF
MRC,M,65,MON FNF,1955-01-01,1955-01-31T08:00:00Z,30060,,AF
MRC,M,65,MON FNF,1955-02-01,1955-02-28T08:00:00Z,22770,,AF
MRC,M,65,MON FNF,1955-03-01,1955-03-31T08:00:00Z,36660,,AF
MRC,M,65,MON FNF,1955-04-01,1955-04-30T07:00:00Z,65240,,AF
MRC,M,65,MON FNF,1955-05-01,1955-05-31T07:00:00Z,193910,,AF
MRC,M,65,MON FNF,1955-06-01,1955-06-30T07:00:00Z,136650,,AF
MRC,M,65,MON FNF,1955-07-01,1955-07-31T07:00:00Z,21900,,AF
MRC,M,65,MON FNF,1955-08-01,1955-08-31T07:00:00Z,0,,AF
MRC,M,65,MON FNF,1955-09-01,1955-09-30T08:00:00Z,0,,AF
MRC,M,65,MON FNF,1955-10-01,1955-10-31T08:00:00Z,1900,,AF
MRC,M,65,MON FNF,1955-11-01,1955-11-30T08:00:00Z,4400,,AF
MRC,M,65,MON FNF,1955-12-01,1955-12-31T08:00:00Z,372500,,AF
MRC,M,65,MON FNF,1956-01-01,1956-01-31T08:00:00Z,224200,,AF
MRC,M,65,MON FNF,1956-02-01,1956-02-29T08:00:00Z,81700,,AF
MRC,M,65,MON FNF,1956-03-01,1956-03-31T08:00:00Z,88300,,AF
MRC,M,65,MON FNF,1956-04-01,1956-04-30T07:00:00Z,154400,,AF
MRC,M,65,MON FNF,1956-05-01,1956-05-31T07:00:00Z,318600,,AF
MRC,M,65,MON FNF,1956-06-01,1956-06-30T07:00:00Z,287300,,AF
MRC,M,65,MON FNF,1956-07-01,1956-07-31T07:00:00Z,108500,,AF
MRC,M,65,MON FNF,1956-08-01,1956-08-31T07:00:00Z,23900,,AF
MRC,M,65,MON FNF,1956-09-01,1956-09-30T07:00:00Z,9000,,AF
MRC,M,65,MON FNF,1956-10-01,1956-10-31T08:00:00Z,8200,,AF
MRC,M,65,MON FNF,1956-11-01,1956-11-30T08:00:00Z,12800,,AF
MRC,M,65,MON FNF,1956-12-01,1956-12-31T08:00:00Z,10200,,AF
MRC,M,65,MON FNF,1957-01-01,1957-01-31T08:00:00Z,14200,,AF
MRC,M,65,MON FNF,1957-02-01,1957-02-28T08:00:00Z,40900,,AF
MRC,M,65,MON FNF,1957-03-01,1957-03-31T08:00:00Z,62800,,AF
MRC,M,65,MON FNF,1957-04-01,1957-04-30T07:00:00Z,88000,,AF
MRC,M,65,MON FNF,1957-05-01,1957-05-31T07:00:00Z,200500,,AF
MRC,M,65,MON FNF,1957-06-01,1957-06-30T07:00:00Z,175800,,AF
MRC,M,65,MON FNF,1957-07-01,1957-07-31T07:00:00Z,29700,,AF
MRC,M,65,MON FNF,1957-08-01,1957-08-31T07:00:00Z,4600,,AF
MRC,M,65,MON FNF,1957-09-01,1957-09-30T08:00:00Z,0,,AF
MRC,M,65,MON FNF,1957-10-01,1957-10-31T08:00:00Z,4500,,AF
MRC,M,65,MON FNF,1957-11-01,1957-11-30T08:00:00Z,9000,,AF
MRC,M,65,MON FNF,1957-12-01,1957-12-31T08:00:00Z,22300,,AF
MRC,M,65,MON FNF,1958-01-01,1958-01-31T08:00:00Z,32200,,AF
MRC,M,65,MON FNF,1958-02-01,1958-02-28T08:00:00Z,83400,,AF
MRC,M,65,MON FNF,1958-03-01,1958-03-31T08:00:00Z,163300,,AF
MRC,M,65,MON FNF,1958-04-01,1958-04-30T07:00:00Z,247800,,AF
MRC,M,65,MON FNF,1958-05-01,1958-05-31T07:00:00Z,410700,,AF
MRC,M,65,MON FNF,1958-06-01,1958-06-30T07:00:00Z,294900,,AF
MRC,M,65,MON FNF,1958-07-01,1958-07-31T07:00:00Z,102200,,AF
