StationID,Duration,SensorNumber,SensorType,DateTime,ObsDate,Value,DataFlag,SensorUnits
SNS,M,65,MON FNF,1950-01-01,1950-01-31T08:00:00Z,42330,,AF
SNS,M,65,MON FNF,1950-02-01,1950-02-28T08:00:00Z,72960,,AF
SNS,M,65,MON FNF,1950-03-01,1950-03-31T08:00:00Z,95310,,AF
SNS,M,65,MON FNF,1950-04-01,1950-04-30T08:00:00Z,254680,,AF
SNS,M,65,MON FNF,1950-05-01,1950-05-31T07:00:00Z,338970,,AF
SNS,M,65,MON FNF,1950-06-01,1950-06-30T07:00:00Z,193610,,AF
SNS,M,65,MON FNF,1950-07-01,1950-07-31T07:00:00Z,45040,,AF
SNS,M,65,MON FNF,1950-08-01,1950-08-31T07:00:00Z,8780,,AF
SNS,M,65,MON FNF,1950-09-01,1950-09-30T08:00:00Z,5340,,AF
SNS,M,65,MON FNF,1950-10-01,1950-10-31T08:00:00Z,10170,,AF
SNS,M,65,MON FNF,1950-11-01,1950-11-30T08:00:00Z,366260,,AF
SNS,M,65,MON FNF,1950-12-01,1950-12-31T08:00:00Z,412210,,AF
SNS,M,65,MON FNF,1951-01-01,1951-01-31T08:00:00Z,119520,,AF
SNS,M,65,MON FNF,1951-02-01,1951-02-28T08:00:00Z,113480,,AF
SNS,M,65,MON FNF,1951-03-01,1951-03-31T08:00:00Z,127090,,AF
SNS,M,65,MON FNF,1951-04-01,1951-04-30T07:00:00Z,175120,,AF
SNS,M,65,MON FNF,1951-05-01,1951-05-31T07:00:00Z,208940,,AF
SNS,M,65,MON FNF,1951-06-01,1951-06-30T07:00:00Z,114420,,AF
SNS,M,65,MON FNF,1951-07-01,1951-07-31T07:00:00Z,32280,,AF
SNS,M,65,MON FNF,1951-08-01,1951-08-31T07:00:00Z,9420,,AF
SNS,M,65,MON FNF,1951-09-01,1951-09-30T07:00:00Z,4790,,AF
SNS,M,65,MON FNF,1951-10-01,1951-10-31T08:00:00Z,10360,,AF
SNS,M,65,MON FNF,1951-11-01,1951-11-30T08:00:00Z,16680,,AF
SNS,M,65,MON FNF,1951-12-01,1951-12-31T08:00:00Z,57720,,AF
SNS,M,65,MON FNF,1952-01-01,1952-01-31T08:00:00Z,105930,,AF
SNS,M,65,MON FNF,1952-02-01,1952-02-29T08:00:00Z,105840,,AF
SNS,M,65,MON FNF,1952-03-01,1952-03-31T08:00:00Z,142060,,AF
SNS,M,65,MON FNF,1952-04-01,1952-04-30T07:00:00Z,333910,,AF
SNS,M,65,MON FNF,1952-05-01,1952-05-31T07:00:00Z,590000,,AF
SNS,M,65,MON FNF,1952-06-01,1952-06-30T07:00:00Z,370040,,AF
SNS,M,65,MON FNF,1952-07-01,1952-07-31T07:00:00Z,143580,,AF
SNS,M,65,MON FNF,1952-08-01,1952-08-31T07:00:00Z,33830,,AF
SNS,M,65,MON FNF,1952-09-01,1952-09-30T08:00:00Z,9420,,AF
SNS,M,65,MON FNF,1952-10-01,1952-10-31T08:00:00Z,5710,,AF
SNS,M,65,MON FNF,1952-11-01,1952-11-30T08:00:00Z,10640,,AF
SNS,M,65,MON FNF,1952-12-01,1952-12-31T08:00:00Z,24450,,AF
SNS,M,65,MON FNF,1953-01-01,1953-01-31T08:00:00Z,76520,,AF
SNS,M,65,MON FNF,1953-02-01,1953-02-28T08:00:00Z,40970,,AF
SNS,M,65,MON FNF,1953-03-01,1953-03-31T08:00:00Z,73130,,AF
SNS,M,65,MON FNF,1953-04-01,1953-04-30T07:00:00Z,209220,,AF
SNS,M,65,MON FNF,1953-05-01,1953-05-31T07:00:00Z,191920,,AF
SNS,M,65,MON FNF,1953-06-01,1953-06-30T07:00:00Z,230700,,AF
SNS,M,65,MON FNF,1953-07-01,1953-07-31T07:00:00Z,87210,,AF
SNS,M,65,MON FNF,1953-08-01,1953-08-31T07:00:00Z,13010,,AF
SNS,M,65,MON FNF,1953-09-01,1953-09-30T08:00:00Z,3640,,AF
SNS,M,65,MON FNF,1953-10-01,1953-10-31T08:00:00Z,6680,,AF
SNS,M,65,MON FNF,1953-11-01,1953-11-30T08:00:00Z,9560,,AF
SNS,M,65,MON FNF,1953-12-01,1953-12-31T08:00:00Z,11660,,AF
SNS,M,65,MON FNF,1954-01-01,1954-01-31T08:00:00Z,20940,,AF
SNS,M,65,MON FNF,1954-02-01,1954-02-28T08:00:00Z,43900,,AF
SNS,M,65,MON FNF,1954-03-01,1954-03-31T08:00:00Z,145400,,AF
SNS,M,65,MON FNF,1954-04-01,1954-04-30T07:00:00Z,263860,,AF
SNS,M,65,MON FNF,1954-05-01,1954-05-31T07:00:00Z,261030,,AF
SNS,M,65,MON FNF,1954-06-01,1954-06-30T07:00:00Z,90260,,AF
SNS,M,65,MON FNF,1954-07-01,1954-07-31T07:00:00Z,25470,,AF
SNS,M,65,MON FNF,1954-08-01,1954-08-31T07:00:00Z,5600,,AF
SNS,M,65,MON FNF,1954-09-01,1954-09-30T08:00:00Z,4030,,AF
SNS,M,65,MON FNF,1954-10-01,1954-10-31T08:00:00Z,5430,,AF
SNS,M,65,MON FNF,1954-11-01,1954-11-30T08:00:00Z,9150,,AF
SNS,M,65,MON FNF,1954-12-01,1954-12-31T08:00:00Z,24570,,AF
