node,Lake McClure,Lake McClure
IFRs,Baseline,natural_flow
Date,,
1990-10-01,184.3,184.3
1990-10-02,184.3,184.3
1990-10-03,184.3,184.3
1990-10-04,184.3,184.3
1990-10-05,184.3,184.3
1990-10-06,184.3,184.3
1990-10-07,184.3,184.3
1990-10-08,184.3,184.3
1990-10-09,184.3,184.3
1990-10-10,184.3,184.3
1990-10-11,184.3,184.3
1990-10-12,184.3,184.3
1990-10-13,184.3,184.3
1990-10-14,184.3,184.3
1990-10-15,184.3,184.3
1990-10-16,184.3,184.3
1990-10-17,184.3,184.3
1990-10-18,184.3,184.3
1990-10-19,184.3,184.3
1990-10-20,184.3,184.3
1990-10-21,184.3,184.3
1990-10-22,184.3,184.3
1990-10-23,184.3,184.3
1990-10-24,184.3,184.3
1990-10-25,184.3,184.3
1990-10-26,184.3,184.3
1990-10-27,184.3,184.3
1990-10-28,184.3,184.3
1990-10-29,184.3,184.3
1990-10-30,184.3,184.3
1990-10-31,184.3,184.3
1990-11-01,184.3,184.3
1990-11-02,184.3,184.3
1990-11-03,184.3,184.3
1990-11-04,184.3,184.3
1990-11-05,184.3,184.3
1990-11-06,184.3,184.3
1990-11-07,184.3,184.3
1990-11-08,184.3,184.3
1990-11-09,184.3,184.3
1990-11-10,184.3,184.3
1990-11-11,184.3,184.3
1990-11-12,184.3,184.3
1990-11-13,184.3,184.3
1990-11-14,184.3,184.3
1990-11-15,184.3,184.3
1990-11-16,184.3,184.3
1990-11-17,184.3,184.3
1990-11-18,184.3,184.3
1990-11-19,184.3,184.3
1990-11-20,184.3,184.3
1990-11-21,184.3,184.3
1990-11-22,184.3,184.3
1990-11-23,184.3,184.3
1990-11-24,184.3,184.3
1990-11-25,184.3,184.3
1990-11-26,184.3,184.3
1990-11-27,184.3,184.3
1990-11-28,184.3,184.3
1990-11-29,184.3,184.3
1990-11-30,184.3,184.3
1990-12-01,184.3,184.3
1990-12-02,184.3,184.3
1990-12-03,184.3,184.3
1990-12-04,184.3,184.3
1990-12-05,184.3,184.3
1990-12-06,184.3,184.3
1990-12-07,184.3,184.3
1990-12-08,184.3,184.3
1990-12-09,184.3,184.3
1990-12-10,184.3,184.3
1990-12-11,184.3,184.3
1990-12-12,184.3,184.3
1990-12-13,184.3,184.3
1990-12-14,184.3,184.3
1990-12-15,184.3,184.3
1990-12-16,184.3,184.3
1990-12-17,184.3,184.3
1990-12-18,184.3,184.3
1990-12-19,184.3,184.3
1990-12-20,184.3,184.3
1990-12-21,184.3,184.3
1990-12-22,184.3,184.3
1990-12-23,184.3,184.3
1990-12-24,184.3,184.3
1990-12-25,184.3,184.3
1990-12-26,184.3,184.3
1990-12-27,184.3,184.3
1990-12-28,184.3,184.3
1990-12-29,184.3,184.3
